 Not Normalized
r    6378137.000000
Mass:  5972200000000000000000000.000000
 n:		m:		C:		S:
 15   11      -2.5059871E-21       3.5576084E-20
 15   12      -5.9913200E-21       2.8848845E-21
 15   13      -5.7203509E-22      -9.2273723E-23
 15   14       1.3766234E-23      -6.4599318E-23
 15   15      -9.2073052E-24      -2.2720046E-24
 16    0      -2.7059030E-08       0.0000000E+00
 16    1       1.2898647E-08       1.6424192E-08
 16    2      -7.3481932E-10       8.4033366E-10
 16    3      -6.2338062E-11      -3.9224862E-11
 16    4       4.6570717E-12       5.4702670E-12
 16    5      -8.7039025E-14      -2.4722616E-14
 16    6       6.4046383E-15      -1.6431696E-14
 16    7      -2.4538220E-16      -2.6333711E-16
 16    8      -4.3914286E-17       1.1198237E-17
 16    9      -3.2825160E-18      -5.8091393E-18
 16   10      -1.2815882E-19       1.2523857E-19
 16   11       1.6299483E-20      -2.7295794E-21
 16   12       1.4100898E-21       4.8475818E-22
 16   13       9.2183072E-23       7.0099258E-24
 16   14      -1.3646748E-23      -2.7266636E-23
 16   15      -1.2918575E-24      -2.9364183E-24
 16   16      -6.0656424E-25       4.6856883E-26
 17    0       1.1351537E-07       0.0000000E+00
 17    1      -1.2131513E-08      -1.5163720E-08
 17    2      -5.5142350E-10       1.8691252E-10
 17    3       9.9910196E-12       8.0504173E-12
 17    4       5.9809143E-13       2.3401631E-12
 17    5      -8.8586791E-14       4.3858188E-14
 17    6      -3.8570325E-15      -9.6787519E-15
 17    7       5.0536915E-16      -8.8736277E-17
 17    8       4.9909081E-17       4.6509365E-18
 17    9       2.9104256E-19      -2.3124923E-18
 17   10      -2.1606627E-20       1.0460851E-19
 17   11      -6.5123757E-21       4.5077641E-21
 17   12       8.8529336E-22       6.3057702E-22
 17   13       4.1540811E-23       5.0674602E-23
 17   14      -3.2261392E-24       2.6158200E-24
 17   15       1.2773740E-25       1.2094605E-25
 17   16      -8.6311593E-26       1.0229152E-26
 17   17      -1.6895083E-26      -9.6774255E-27
 18    0       3.7096510E-08       0.0000000E+00
 18    1       3.3498639E-09      -1.8279416E-08
 18    2       3.7146925E-10       2.7329244E-10
 18    3      -6.9425386E-12      -8.0499393E-12
 18    4       4.1383857E-12      -5.9603626E-14
 18    5       2.5232283E-14       1.1036010E-13
 18    6       3.2452924E-15      -3.1657069E-15
 18    7       9.3748150E-17       1.0305510E-16
 18    8       2.4887272E-17       3.5450100E-18
 18    9      -9.7182878E-19       1.7942464E-18
 18   10       1.6314891E-20      -1.3266049E-20
 18   11      -1.4143422E-21       4.3525535E-22
 18   12      -4.2162292E-22      -2.3471262E-22
 18   13      -6.4988930E-24      -3.6308512E-23
 18   14      -6.8147595E-25      -1.0543035E-24
 18   15      -2.8938189E-25      -1.4502094E-25
 18   16       7.1972940E-27       4.6051778E-27
 18   17       2.9477277E-28       3.7035260E-28
 18   18       4.2180332E-29      -1.5315753E-28
 19    0      -2.0628080E-08       0.0000000E+00
 19    1      -4.0646629E-09       5.4073495E-10
 19    2       8.3281784E-10      -5.5231550E-11
 19    3      -9.1099145E-12       1.3289584E-12
 19    4       9.9298251E-13      -5.1147334E-13
 19    5       3.4392929E-14       9.0876055E-14
 19    6      -8.4932475E-16       3.3190487E-15
 19    7       5.4298625E-17      -8.4142054E-17
 19    8       1.5982578E-17      -5.3430975E-18
 19    9       1.0018554E-19       2.2053030E-19
 19   10      -6.0615592E-20      -1.3560436E-20
 19   11       1.7753649E-21       1.1277430E-21
 19   12      -1.6869802E-23       6.5383830E-23
 19   13      -3.4839658E-24      -1.3177540E-23
 19   14      -1.5574351E-25      -4.2190521E-25
 19   15      -4.4292406E-26      -3.5433460E-26
 19   16      -4.6277354E-27      -1.5105075E-27
 19   17       5.8986807E-28      -3.1419171E-28
 19   18       8.3341045E-29      -2.3067161E-29
 19   19      -1.0442778E-30       2.0071416E-30
 20    0       1.3804592E-07       0.0000000E+00
 20    1       2.4601277E-09       3.1058398E-09
 20    2       4.3854681E-10       3.7139379E-10
 20    3      -5.0460198E-12       4.1318339E-11
 20    4       2.2454089E-13      -1.1897801E-12
 20    5      -2.6623176E-14      -2.1717504E-14
 20    6       1.6192292E-15      -5.8101682E-16
 20    7      -1.4535505E-16      -4.8299484E-18
 20    8       1.8287865E-18       7.7305209E-19
 20    9       3.3068635E-19      -1.3492838E-19
 20   10      -3.4206188E-20      -5.0730571E-21
 20   11       8.6924666E-22      -1.1520584E-21
 20   12      -2.2925464E-23       6.4283115E-23
 20   13       5.9803500E-24       1.4756093E-24
 20   14       1.6299714E-25      -2.0338146E-25
 20   15      -2.5167690E-26      -8.4416468E-28
 20   16      -9.0367849E-28      -2.4980420E-29
 20   17       2.6925134E-29      -8.2102466E-29
 20   18       8.5992332E-30      -5.0256035E-31
 20   19      -1.9212069E-31       6.9252273E-31
 20   20       3.7444099E-32      -1.2726650E-31
 21    0       4.0982495E-08       0.0000000E+00
 21    1      -6.9715472E-09       1.2379208E-08
 21    2      -1.1298745E-10       8.4065403E-11
 21    3       1.8036234E-11       2.1406228E-11
 21    4      -2.2691238E-13       8.4307910E-13
 21    5       5.5050373E-15       2.3175089E-15
 21    6      -1.3769829E-15       1.3935171E-18
 21    7      -3.2780344E-17       1.2502362E-17
 21    8      -4.2406991E-18       5.2882849E-19
 21    9       1.9760217E-19       1.1313531E-19
 21   10      -7.3656515E-21      -7.3688218E-22
 21   11       2.3742773E-22      -1.2252721E-21
 21   12      -6.3058613E-24       2.8009957E-23
 21   13      -2.0985125E-24       1.5105244E-24
 21   14       1.3124834E-25       4.7628029E-26
 21   15       7.1696372E-27       4.2304206E-27
 21   16       2.0516833E-28      -1.8218838E-28
 21   17      -1.4833119E-29      -1.4655585E-29
 21   18       4.2101552E-30      -1.7610206E-30
 21   19      -3.9496088E-31       2.4036748E-31
 21   20      -4.3210195E-32       2.5523979E-32
 21   21       2.0928320E-33      -9.0382747E-34
 22    0      -7.2296036E-08       0.0000000E+00
 22    1       6.6133306E-09      -1.6197403E-09
 22    2      -4.9762360E-10      -2.1879109E-11
 22    3       9.5303234E-12       8.5033033E-12
 22    4      -1.3664413E-13       7.0788322E-13
 22    5       1.6598540E-16      -5.4609535E-16
 22    6       7.9884004E-16      -4.3283821E-16
 22    7       6.3717503E-17       1.7320650E-17
 22    8      -4.0414900E-18       6.5605429E-19
 22    9       5.5171354E-20       6.9154648E-20
 22   10       2.2777638E-21       9.0470709E-21
 22   11      -9.7944523E-23      -3.5724826E-22
 22   12       2.5436472E-24      -8.6332610E-24
 22   13      -9.6467639E-25       1.0969955E-24
 22   14       3.3951746E-26       2.6006845E-26
 22   15       4.6775975E-27       8.5530407E-28
 22   16       1.2558337E-30      -8.1132491E-29
 22   17       6.2336940E-30      -1.0623645E-29
 22   18       5.2464839E-31      -8.3378465E-31
 22   19       5.6478150E-32      -1.3509125E-32
 22   20      -6.0034934E-33       7.0092089E-33
 22   21      -9.7710754E-34       9.2513106E-34
 22   22      -5.8647418E-35       1.3586574E-35
 23    0      -1.5260164E-07       0.0000000E+00
 23    1       3.7860282E-09       6.6831540E-09
 23    2      -2.5326984E-10      -8.0690445E-11
 23    3      -1.8131033E-11      -1.3174961E-11
 23    4      -7.7347009E-13       2.6871968E-13
 23    5      -1.2408772E-15       2.3134816E-16
 23    6      -7.3347146E-16       9.9191711E-16
 23    7      -1.8754234E-17      -5.2117161E-18
 23    8       8.9994356E-19       2.2295392E-20
 23    9       1.0146635E-20      -7.1710754E-20
 23   10       4.3778506E-21      -5.8927669E-22
 23   11       1.1399918E-22       1.7652075E-22
 23   12       9.9224097E-24      -7.2363314E-24
 23   13      -3.5161902E-25      -1.5761761E-25
 23   14       1.0952122E-26      -2.3042650E-27
 23   15       1.6128065E-27      -3.0570109E-28
 23   16       2.8471977E-29       5.3382530E-29
 23   17      -1.5735273E-30      -3.7250319E-30
 23   18       1.5688292E-31      -2.7208557E-31
 23   19      -6.9383505E-33       1.3503742E-32
 23   20       7.7013189E-34      -5.2697022E-34
 23   21       1.3211016E-34       9.8741788E-35
 23   22      -1.5933327E-35       4.1967010E-36
 23   23       3.9933371E-37      -1.5757800E-36
 24    0      -5.1051821E-10       0.0000000E+00
 24    1      -1.1034949E-09      -6.1941967E-10
 24    2       1.5865069E-11       2.5045254E-10
 24    3      -3.2607558E-12      -6.6015287E-12
 24    4       1.6699455E-13       1.4231399E-13
 24    5      -8.2650378E-15      -2.4879226E-14
 24    6       1.7616129E-16       6.6165982E-17
 24    7      -1.2484453E-17       1.0123077E-17
 24    8       1.3600731E-18      -3.1850645E-19
 24    9      -4.4467909E-20      -6.8518324E-20
 24   10       1.8664563E-21       3.6160575E-21
 24   11       1.1669127E-22       1.3682191E-22
 24   12       4.0802785E-24      -2.1947269E-24
 24   13      -5.0947676E-26       4.9476120E-26
 24   14      -1.6456161E-26      -1.6874384E-27
 24   15       2.6534527E-28      -6.6626197E-28
 24   16       1.8593369E-29       5.9862965E-30
 24   17      -1.4511617E-30      -7.8304783E-31
 24   18      -2.6176913E-33      -7.3030732E-32
 24   19      -1.9615859E-33      -3.8274457E-33
 24   20      -1.6825498E-34       2.5706304E-34
 24   21       1.2280703E-35       3.1304469E-35
 24   22       7.5414462E-37      -7.4283904E-37
 24   23      -1.2051048E-37      -1.7169836E-37
 24   24       3.5566442E-38      -1.0359193E-38
 25    0       2.2895329E-08       0.0000000E+00
 25    1       2.5239311E-09      -3.6273880E-09
 25    2       3.5352253E-10       1.4545393E-10
 25    3      -5.9366673E-12      -8.7729931E-12
 25    4       2.4672417E-13       7.2079661E-15
 25    5      -1.0679438E-14      -3.9905291E-16
 25    6       6.3217455E-16       6.3601282E-18
 25    7       1.5112243E-17      -1.0433010E-17
 25    8       1.3462522E-19       1.1867086E-20
 25    9      -8.1660930E-20       6.1712117E-20
 25   10       1.0219861E-21      -5.0177878E-22
 25   11       9.2385554E-24       5.0456011E-23
 25   12      -1.6670968E-24       2.4857148E-24
 25   13       7.6971334E-26      -1.1260885E-25
 25   14      -8.9006944E-27       2.9314142E-27
 25   15      -9.4693082E-29      -1.5786213E-28
 25   16       1.3732858E-30      -1.3571351E-29
 25   17      -8.3921173E-31      -2.0042907E-31
 25   18       4.4850004E-33      -4.3416084E-32
 25   19       1.2906077E-33       1.6299844E-33
 25   20      -8.0770702E-35      -9.7427188E-36
 25   21       7.1324430E-36       5.1757372E-36
 25   22      -6.8780171E-37       1.8784150E-37
 25   23       3.4803112E-38      -5.1235836E-38
 25   24       1.7368783E-39      -3.4385415E-39
 25   25       6.0770046E-40       2.8654833E-40
 26    0       4.2897202E-08       0.0000000E+00
 26    1      -5.5691444E-11      -2.5836416E-09
 26    2      -2.3294598E-11       1.6895703E-10
 26    3       8.4092031E-12       2.2520141E-12
 26    4       4.0430774E-13      -4.2868336E-13
 26    5       1.0675921E-14       6.3483521E-15
 26    6       3.0064842E-16      -3.2919813E-16
 26    7      -1.9342033E-18       5.4197539E-18
 26    8       1.6640777E-19       8.5393330E-20
 26    9      -2.5013822E-20       1.3606062E-21
 26   10      -1.1557954E-21      -4.3712844E-22
 26   11      -1.4685021E-23       5.3169676E-24
 26   12      -2.2613083E-24       3.0988378E-25
 26   13      -9.9841291E-28       8.7409903E-27
 26   14       1.9127919E-27       2.0118214E-27
 26   15      -1.5023976E-28       9.3319599E-29
 26   16       8.2968159E-31      -3.3484016E-30
 26   17      -3.0287128E-31       1.9974850E-31
 26   18      -1.6404461E-32       6.2091882E-33
 26   19      -1.5131909E-34       2.5187956E-34
 26   20       2.3207117E-35      -4.4612799E-35
 26   21      -2.0317009E-36       4.3061518E-37
 26   22       1.4856841E-37       1.0114093E-37
 26   23       1.0468672E-39       1.0965757E-38
 26   24       7.5389493E-40       1.2341770E-39
 26   25       3.1259424E-41      -4.8021543E-42
 26   26       7.5440973E-43       2.3808044E-42
 27    0       2.6799189E-08       0.0000000E+00
 27    1       1.0914676E-09       6.0545534E-10
 27    2       9.1693039E-12      -8.5623015E-12
 27    3       1.7910069E-12       5.3173464E-12
 27    4      -2.9740749E-14       1.4985440E-13
 27    5       1.0014238E-14       1.0275687E-14
 27    6       1.2639365E-16       1.6313103E-16
 27    7      -1.0598431E-17      -6.5743788E-18
 27    8      -2.8922936E-19      -3.1533201E-19
 27    9       4.2190771E-21       1.5506526E-20
 27   10      -7.2047849E-22       6.7602271E-23
 27   11       4.6919654E-24      -1.9801436E-23
 27   12      -9.2073111E-25       1.7382337E-25
 27   13      -1.5673347E-26      -1.6021750E-26
 27   14       2.1947280E-27       1.6916969E-27
 27   15      -1.3057489E-29       9.0089492E-30
 27   16       6.9340816E-31       8.5458750E-31
 27   17       5.4220628E-32       6.1853508E-33
 27   18      -1.1967045E-33       4.5505380E-33
 27   19      -7.7469108E-36      -6.8138866E-35
 27   20      -1.8615537E-36       5.3592159E-36
 27   21       3.9323477E-37      -5.3137202E-37
 27   22      -2.7117470E-38       1.3466652E-38
 27   23      -1.5677205E-39      -3.4175033E-39
 27   24       7.9327210E-42      -4.6206604E-41
 27   25       1.9974986E-41       9.9254703E-42
 27   26      -1.0948353E-42      -3.8286042E-43
 27   27       1.7601464E-43       2.3432910E-44
 28    0      -7.3781166E-08       0.0000000E+00
 28    1      -1.9775394E-09       3.2668463E-09
 28    2      -1.9759914E-10      -1.0868823E-10
 28    3       1.3461822E-12       4.7224851E-12
 28    4      -2.3169699E-14       1.8501527E-13
