 Not Normalized
r        289.774344
Mass:            74096121914.866579
 n:		m:		C:		S:
 15   12       6.1765025E-19       1.3710419E-19
 15   13      -1.0462590E-19      -3.6130892E-19
 15   14       4.4108691E-22       1.8341100E-20
 15   15       7.2352163E-21       1.0230687E-20
 16    0       1.9749904E-04       0.0000000E+00
 16    1      -1.0320231E-06       6.9911510E-06
 16    2      -8.1769902E-07      -2.6497914E-08
 16    3      -1.7350516E-08       6.5712258E-09
 16    4       3.1598864E-09       2.1714298E-09
 16    5      -1.7880306E-11      -2.2992634E-12
 16    6      -7.9435653E-12      -3.3363365E-12
 16    7       1.9883751E-13       1.6797507E-13
 16    8      -4.4420996E-15       1.2181036E-14
 16    9       6.6946636E-16      -1.9124287E-16
 16   10      -5.3794272E-17      -1.1044284E-16
 16   11       3.3116158E-18       7.3803472E-18
 16   12       7.2200386E-20       7.1907911E-19
 16   13       1.3084113E-21       3.7547855E-20
 16   14       3.7869891E-21      -7.0283025E-21
 16   15      -7.8037383E-22       8.4820270E-22
 16   16       2.1052352E-23       2.9552279E-22
 17    0      -1.1512577E-04       0.0000000E+00
 17    1       4.3421457E-06      -5.7280128E-06
 17    2       5.3653065E-08      -9.2418391E-08
 17    3       6.8590803E-09       3.0076315E-09
 17    4       3.8785764E-10      -3.6977304E-10
 17    5       7.4800639E-11       1.1498983E-11
 17    6       1.7634623E-12      -2.7541314E-12
 17    7      -1.7754100E-13      -2.3219659E-14
 17    8      -1.1120248E-15      -1.0752163E-15
 17    9       8.6410004E-16       9.1280270E-16
 17   10       3.0279861E-18      -9.1297401E-18
 17   11      -3.1944282E-18      -2.0348340E-18
 17   12      -3.2589591E-21      -8.0584300E-20
 17   13       9.0159960E-21       2.4899910E-20
 17   14      -1.2503761E-21      -2.7686409E-22
 17   15      -1.4093974E-22      -3.3638966E-22
 17   16      -3.6062974E-26       2.3942458E-24
 17   17       2.7657538E-25       3.2272108E-24
 18    0      -1.5243162E-04       0.0000000E+00
 18    1       2.2294126E-06      -3.0381197E-06
 18    2       5.0738445E-07       8.2302936E-08
 18    3       1.4240186E-08      -6.7326822E-09
 18    4      -8.9810939E-10      -8.9341540E-10
 18    5       8.9676898E-12       1.0185426E-11
 18    6       2.6794611E-12       1.2648120E-12
 18    7      -1.5750115E-14      -1.5653525E-14
 18    8       3.4864860E-15      -2.3817996E-15
 18    9      -1.0031608E-16       9.5926049E-17
 18   10       4.0808016E-18       1.9736909E-17
 18   11      -3.9381550E-19      -9.1049548E-19
 18   12       1.4923650E-20      -7.5341193E-20
 18   13      -6.0819658E-22      -2.3580770E-21
 18   14       5.2311569E-23       4.1515065E-22
 18   15       4.3935898E-23      -2.7543638E-24
 18   16      -1.9551237E-25      -4.5204063E-24
 18   17      -2.0287729E-25       1.6552276E-25
 18   18       8.3531862E-27       5.3645961E-26
 19    0       6.1433264E-05       0.0000000E+00
 19    1      -1.3074043E-06       3.8511968E-06
 19    2      -2.8703105E-08       8.7979343E-08
